timestamp,machine_id,temperature_c,vibration_mm_s,rpm,pressure_psi,flow_rate_l_min,material_hardness,power_draw_kw,phase_imbalance_pct,sensor_drift_factor,variation_score,wear_and_tear_index,production_quantity,defect_rate_pct,days_until_failure,status
2023-01-01 00:00:00,M-101,65.99,4.86,1506,123.05,49.77,198.83,46.58,1.15,0.0077,0.1,16.94,998,2.45,118,Normal
2023-01-01 01:00:00,M-103,63.15,2.39,1509,121.63,48.48,197.86,44.26,0.86,-0.0007,0.0,25.43,987,4.11,149,Normal
2023-01-01 02:00:00,M-102,63.91,5.11,1488,120.75,49.4,198.54,44.4,1.37,0.0099,0.02,11.36,976,1.63,162,Normal
2023-01-01 03:00:00,M-105,65.78,3.73,1510,125.56,51.19,201.09,45.88,0.8,0.0021,0.08,21.87,1006,3.17,119,Normal
2023-01-01 04:00:00,M-104,65.69,3.24,1503,119.23,49.32,203.06,46.03,1.19,0.0058,0.07,36.92,985,4.92,98,Normal
2023-01-01 05:00:00,M-101,67.2,4.82,1495,122.36,49.1,204.17,45.3,0.79,0.0096,0.22,30.14,993,5.36,74,Normal
2023-01-01 06:00:00,M-105,64.93,6.56,1473,121.64,50.09,198.5,45.09,0.6,0.0089,0.31,27.01,969,4.28,64,Normal
2023-01-01 07:00:00,M-105,66.49,4.79,1495,121.0,51.16,201.29,45.31,1.27,0.0109,0.15,15.53,975,2.96,105,Normal
2023-01-01 08:00:00,M-105,64.22,3.54,1502,120.52,50.01,198.83,43.58,0.92,0.0083,0.0,38.29,983,5.85,123,Normal
2023-01-01 09:00:00,M-104,60.96,4.06,1514,119.96,48.33,194.64,44.01,1.02,0.0078,0.0,18.36,986,2.76,163,Normal
2023-01-01 10:00:00,M-101,64.62,5.3,1499,117.66,51.14,203.76,45.79,0.82,0.017,0.06,29.91,964,4.17,112,Normal
2023-01-01 11:00:00,M-102,65.15,4.51,1509,123.41,50.87,200.05,44.63,1.13,0.0039,0.02,21.83,1008,2.85,147,Normal
2023-01-01 12:00:00,M-103,63.43,4.68,1508,117.54,50.23,206.54,43.39,1.04,0.0113,0.0,20.17,1015,3.68,159,Normal
2023-01-01 13:00:00,M-102,80.66,25.09,1360,146.81,39.24,172.62,63.92,9.1,0.2163,5.58,100.0,344,25.69,0,Failure
2023-01-01 14:00:00,M-103,67.32,4.18,1509,120.83,50.82,209.48,44.75,0.85,0.0056,0.23,42.67,955,7.3,59,Normal
2023-01-01 15:00:00,M-104,64.52,6.21,1505,125.47,50.09,192.97,44.97,0.81,0.0149,0.24,18.94,971,3.26,82,Normal
2023-01-01 16:00:00,M-103,64.55,5.71,1504,119.85,49.15,192.43,44.55,1.17,0.0111,0.14,40.23,957,6.63,76,Normal
2023-01-01 17:00:00,M-101,68.53,5.23,1491,122.11,50.05,204.36,46.07,0.81,0.0169,0.4,40.29,970,6.54,46,Normal
2023-01-01 18:00:00,M-105,66.03,8.85,1505,122.27,50.95,203.26,44.68,1.15,0.0061,0.87,40.45,890,7.8,26,Normal
2023-01-01 19:00:00,M-104,63.93,3.21,1503,119.17,50.08,195.53,44.67,1.31,0.0106,0.0,12.56,1010,1.25,174,Normal
2023-01-01 20:00:00,M-103,75.18,10.05,1514,133.17,38.92,191.49,53.01,3.85,0.0341,2.03,41.17,754,9.84,12,Warning
2023-01-01 21:00:00,M-105,81.65,11.0,1440,131.59,40.16,197.56,58.8,3.38,0.083,2.86,60.39,629,15.71,6,Warning
2023-01-01 22:00:00,M-103,67.53,4.29,1504,121.55,49.07,199.7,41.76,0.8,0.0087,0.25,25.76,944,5.14,73,Normal
2023-01-01 23:00:00,M-101,67.65,4.87,1495,120.12,52.35,202.02,45.91,0.96,0.0103,0.26,31.23,981,5.28,66,Normal
2023-01-02 00:00:00,M-102,68.17,3.76,1521,116.1,49.85,202.94,45.28,0.88,0.009,0.32,40.1,952,6.34,52,Normal
2023-01-02 01:00:00,M-101,73.58,14.86,1493,131.81,46.74,184.96,57.63,3.55,0.0358,2.83,75.73,624,16.41,3,Warning
2023-01-02 02:00:00,M-101,66.09,4.8,1497,122.2,50.83,204.07,46.31,1.0,0.0134,0.11,23.32,980,3.58,106,Normal
2023-01-02 03:00:00,M-104,63.77,6.91,1510,116.42,49.55,206.02,43.8,1.15,0.0133,0.38,32.22,940,5.59,53,Normal
2023-01-02 04:00:00,M-103,66.95,4.85,1491,119.36,50.41,197.18,44.18,1.05,0.0112,0.2,15.11,966,2.94,95,Normal
2023-01-02 05:00:00,M-103,66.75,6.15,1495,118.67,51.36,189.81,46.57,0.94,0.01,0.41,19.65,937,3.73,61,Normal
2023-01-02 06:00:00,M-103,65.65,4.17,1505,123.07,49.89,202.01,45.69,0.92,0.0111,0.06,13.18,992,2.34,138,Normal
2023-01-02 07:00:00,M-101,65.11,7.28,1504,119.14,51.86,206.0,46.82,0.98,0.0149,0.47,22.63,915,4.72,54,Normal
2023-01-02 08:00:00,M-102,60.75,4.47,1492,120.3,50.34,209.38,45.95,0.88,0.0055,0.0,37.33,1009,5.97,125,Normal
2023-01-02 09:00:00,M-102,67.95,5.7,1498,119.85,49.72,201.48,43.9,1.07,0.0096,0.44,30.59,953,5.6,50,Normal
2023-01-02 10:00:00,M-104,61.81,4.4,1500,120.09,49.55,203.11,43.93,0.97,0.0106,0.0,16.86,1010,3.06,166,Normal
2023-01-02 11:00:00,M-105,68.08,4.17,1496,120.48,52.05,200.57,46.55,1.03,0.0158,0.31,26.73,983,4.71,65,Normal
2023-01-02 12:00:00,M-103,77.58,16.11,1421,133.43,48.18,175.93,51.45,0.96,0.0446,3.48,77.61,596,18.36,3,Warning
2023-01-02 13:00:00,M-101,67.67,5.98,1503,119.97,50.8,198.59,43.34,1.0,0.012,0.46,24.15,966,3.83,53,Normal
2023-01-02 14:00:00,M-101,76.47,9.18,1434,124.7,44.81,197.64,52.04,3.5,0.0394,1.98,45.05,746,10.01,12,Warning
2023-01-02 15:00:00,M-104,64.62,5.06,1477,119.8,50.04,202.57,46.2,1.17,0.0069,0.01,16.45,983,2.78,159,Normal
2023-01-02 16:00:00,M-102,73.9,5.09,1404,136.83,49.93,188.01,56.73,3.31,0.1116,0.91,26.85,913,6.61,31,Warning
2023-01-02 17:00:00,M-105,65.17,9.57,1422,129.07,44.86,181.51,53.04,2.23,0.043,0.93,44.34,892,8.97,23,Warning
2023-01-02 18:00:00,M-103,64.98,6.48,1500,118.28,51.52,202.69,43.96,0.96,0.0056,0.3,33.82,936,4.71,60,Normal
2023-01-02 19:00:00,M-104,66.88,5.03,1501,119.28,49.76,197.71,44.37,0.92,0.0079,0.19,39.81,960,6.09,67,Normal
2023-01-02 20:00:00,M-104,65.1,4.17,1502,119.9,49.76,195.46,44.42,1.15,0.0125,0.01,38.03,979,6.75,119,Normal
2023-01-02 21:00:00,M-102,68.24,5.93,1492,118.87,49.0,201.4,42.26,0.91,0.0085,0.51,35.1,908,6.68,42,Normal
2023-01-02 22:00:00,M-105,64.87,3.79,1493,120.09,49.14,198.08,46.01,0.88,0.0142,0.0,32.81,977,4.56,134,Normal
2023-01-02 23:00:00,M-105,69.87,3.23,1489,120.34,50.09,202.44,46.58,0.98,0.0106,0.49,22.21,929,4.6,52,Normal
2023-01-03 00:00:00,M-105,65.79,4.58,1502,124.15,50.87,198.37,46.2,0.92,-0.0002,0.08,25.06,970,4.44,113,Normal
2023-01-03 01:00:00,M-102,80.78,14.1,1300,143.09,39.12,183.39,70.48,5.23,0.1643,3.4,100.0,595,17.73,0,Failure
2023-01-03 02:00:00,M-102,65.68,4.58,1506,124.54,50.18,201.24,44.54,0.83,0.0142,0.07,12.02,974,2.69,138,Normal
2023-01-03 03:00:00,M-101,65.8,4.65,1508,122.57,49.56,197.86,44.45,1.19,0.0149,0.08,27.49,1018,4.79,109,Normal
2023-01-03 04:00:00,M-101,63.45,3.76,1482,122.99,50.65,199.72,45.28,0.77,0.0222,0.0,10.54,1002,2.47,178,Normal
2023-01-03 05:00:00,M-102,66.18,5.22,1504,120.5,48.86,193.29,46.89,1.04,0.0105,0.16,15.82,978,3.09,102,Normal
