timestamp,tick,rpm,pressure_bar,coolant_flow_lpm,temperature_c,vibration_mm_s,bearing_wear,defect_rate,reject_count,kwh_per_unit
2026-09-24T20:26:34.318854+00:00,689,1199.99,5.0,11.93,38.11,16.82,1.0,0.0595,7,3.65
2026-09-24T20:26:34.369545+00:00,690,1449.49,14.98,4.82,46.72,19.48,1.0,0.7221,72,4.14
2026-09-24T20:26:34.420499+00:00,691,1450.0,15.03,5.01,46.36,19.76,1.0,0.7239,72,4.13
2026-09-24T20:26:34.471101+00:00,692,1450.38,15.01,4.79,45.79,19.7,1.0,0.7255,72,4.11
2026-09-24T20:26:34.521907+00:00,693,1450.07,15.01,5.12,46.3,19.75,1.0,0.7256,73,4.1
2026-09-24T20:26:34.572476+00:00,694,1450.76,14.88,4.93,46.28,19.47,1.0,0.7247,72,4.13
2026-09-24T20:26:34.623220+00:00,695,1449.46,14.98,5.19,46.33,19.8,1.0,0.7222,72,4.11
2026-09-24T20:26:34.673722+00:00,696,1450.13,15.01,4.85,45.73,19.89,1.0,0.726,72,4.18
2026-09-24T20:26:34.724391+00:00,697,1450.28,14.94,5.09,45.96,19.6,1.0,0.723,72,4.16
2026-09-24T20:26:34.774831+00:00,698,1450.27,15.04,4.93,46.37,19.47,1.0,0.7228,71,4.14
2026-09-24T20:26:34.825731+00:00,699,1450.38,14.96,5.06,45.95,19.84,1.0,0.7256,73,4.15
2026-09-24T20:26:34.876217+00:00,700,1450.29,15.06,4.88,46.07,19.71,1.0,0.7243,71,4.16
2026-09-24T20:26:34.927184+00:00,701,1449.37,15.0,4.86,46.78,19.86,1.0,0.7206,72,4.09
2026-09-24T20:26:34.977724+00:00,702,1449.93,14.91,4.95,46.32,19.61,1.0,0.7214,72,4.12
2026-09-24T20:26:35.030090+00:00,703,1450.62,14.85,5.12,45.79,19.89,1.0,0.7259,73,4.13
2026-09-24T20:26:35.081126+00:00,704,1449.95,15.03,5.02,46.07,19.89,1.0,0.7236,72,4.1
2026-09-24T20:26:35.132259+00:00,705,1450.1,15.1,4.98,46.46,19.82,1.0,0.7246,72,4.15
2026-09-24T20:26:35.182810+00:00,706,1449.72,15.03,4.82,46.16,19.47,1.0,0.7229,71,4.11
2026-09-24T20:26:35.234130+00:00,707,1449.46,15.07,5.06,45.99,19.65,1.0,0.7203,72,4.13
2026-09-24T20:26:35.284677+00:00,708,1449.85,15.04,5.01,46.4,19.72,1.0,0.7241,72,4.11
2026-09-24T20:26:35.335551+00:00,709,1449.65,15.07,5.05,46.26,19.64,1.0,0.7226,72,4.13
2026-09-24T20:26:35.386415+00:00,710,1450.77,14.99,5.05,46.18,19.79,1.0,0.7272,72,4.15
2026-09-24T20:26:35.437283+00:00,711,1450.36,14.97,5.03,46.24,19.48,1.0,0.7246,72,4.14
2026-09-24T20:26:35.487784+00:00,712,1450.81,15.04,5.32,45.71,19.43,1.0,0.7252,72,4.15
2026-09-24T20:26:35.538611+00:00,713,1450.5,14.85,4.93,46.76,19.85,1.0,0.7256,72,4.16
2026-09-24T20:26:35.589079+00:00,714,1450.25,14.98,5.1,46.06,19.53,1.0,0.7238,72,4.11
2026-09-24T20:26:35.640063+00:00,715,1450.2,15.01,4.99,46.03,19.84,1.0,0.7264,71,4.14
2026-09-24T20:26:35.690644+00:00,716,1449.78,14.92,5.11,46.3,19.64,1.0,0.7241,71,4.17
2026-09-24T20:26:35.741816+00:00,717,1450.38,15.07,5.01,46.43,19.67,1.0,0.7251,72,4.16
2026-09-24T20:26:35.792333+00:00,718,1450.3,15.07,5.07,46.36,19.77,1.0,0.7236,72,4.13
2026-09-24T20:26:35.843346+00:00,719,1449.76,14.99,4.83,46.16,19.81,1.0,0.7239,72,4.11
2026-09-24T20:26:35.893854+00:00,720,1450.42,14.96,4.97,46.18,19.36,1.0,0.7248,72,4.1
2026-09-24T20:26:35.944804+00:00,721,1450.65,14.95,5.12,47.06,19.77,1.0,0.7264,72,4.17
2026-09-24T20:26:35.995626+00:00,722,1450.5,14.98,4.95,46.65,19.51,1.0,0.724,71,4.13
2026-09-24T20:26:36.047051+00:00,723,1450.16,15.03,5.01,46.4,19.79,1.0,0.7245,72,4.13
2026-09-24T20:26:36.097524+00:00,724,1449.18,15.02,5.09,46.09,19.94,1.0,0.7227,72,4.12
2026-09-24T20:26:36.148218+00:00,725,1449.72,14.91,5.01,46.36,20.34,1.0,0.7268,73,4.15
2026-09-24T20:26:36.199070+00:00,726,1449.64,14.96,5.1,46.18,19.86,1.0,0.7238,72,4.1
2026-09-24T20:26:36.249907+00:00,727,1450.21,15.03,5.04,45.94,19.7,1.0,0.7242,72,4.16
2026-09-24T20:26:36.300715+00:00,728,1450.24,15.0,5.01,46.51,19.66,1.0,0.7239,72,4.15
2026-09-24T20:26:36.351902+00:00,729,1449.84,14.96,4.81,45.83,19.28,1.0,0.7197,72,4.1
2026-09-24T20:26:36.402414+00:00,730,1450.0,15.05,5.13,46.52,19.48,1.0,0.7209,72,4.14
2026-09-24T20:26:36.453362+00:00,731,1450.28,14.96,5.21,46.11,19.7,1.0,0.7246,71,4.12
2026-09-24T20:26:36.503877+00:00,732,1449.47,14.95,4.92,46.49,19.65,1.0,0.7214,72,4.14
2026-09-24T20:26:36.554639+00:00,733,1449.96,15.05,5.01,46.89,19.79,1.0,0.7214,72,4.14
2026-09-24T20:26:36.605449+00:00,734,1449.99,15.01,5.15,46.61,19.62,1.0,0.7246,73,4.15
2026-09-24T20:26:36.656294+00:00,735,1449.96,14.96,5.03,45.72,19.8,1.0,0.7247,71,4.1
2026-09-24T20:26:36.706698+00:00,736,1449.66,14.96,5.09,46.01,19.75,1.0,0.7233,72,4.16
2026-09-24T20:26:36.757556+00:00,737,1450.26,15.0,4.96,45.81,19.88,1.0,0.7238,72,4.16
2026-09-24T20:26:36.808148+00:00,738,1449.49,14.96,5.09,45.86,19.47,1.0,0.7199,72,4.14
2026-09-24T20:26:36.858943+00:00,739,1449.84,15.0,4.97,46.12,19.79,1.0,0.7246,73,4.15
2026-09-24T20:26:36.909307+00:00,740,1449.65,15.01,4.99,46.7,19.92,1.0,0.723,72,4.12
2026-09-24T20:26:36.960218+00:00,741,1450.77,14.96,4.98,45.94,19.8,1.0,0.7253,72,4.17
